NOC,Year,mean_prediction,std_prediction,ci_lower_95,ci_upper_95
HKG,2024,0.70481056,0.13478218,0.46062323,0.9932974
HUN,2024,6.1431284,1.0049969,4.255736,8.201131
INA,2024,1.2052405,0.22687316,0.77430326,1.6398703
IND,2024,1.7184495,0.3547388,1.0918963,2.4934103
IRI,2024,2.065422,0.44205415,1.2821745,2.9828987
IRL,2024,2.8174126,0.6926894,1.6154722,4.318012
ISR,2024,1.4184119,0.32930633,0.84654737,2.089005
ITA,2024,13.005156,2.8733022,8.982589,20.25767
JAM,2024,3.2962978,0.52673405,2.2975383,4.352553
JOR,2024,0.66633385,0.114049345,0.48818606,0.9494401
JPN,2024,15.60784,2.5908034,10.871562,21.097164
KAZ,2024,4.259531,0.8451219,2.819113,6.1306577
KEN,2024,3.1854787,0.5848649,2.104591,4.369917
KGZ,2024,0.4977267,0.08266517,0.34970078,0.6690141
KOR,2024,6.470663,0.9511614,4.7572117,8.42652
KOS,2024,0.70076317,0.12875515,0.50696594,1.0049481
LCA,2024,0.63222027,0.09655964,0.47354314,0.8451512
LTU,2024,1.5396417,0.28338167,1.039805,2.12992
MAR,2024,0.72197694,0.16897951,0.39746386,1.0954231
MAS,2024,1.0708102,0.2732794,0.54399675,1.6654664
MDA,2024,0.71099967,0.12291593,0.51874185,0.96626306
MEX,2024,2.7532551,0.61412734,1.7250541,4.0991335
MGL,2024,1.0729569,0.24398877,0.6488258,1.5524111
NED,2024,7.826056,1.2285665,5.7534547,10.559977
NOR,2024,2.3007305,0.38504484,1.6112006,3.0994227
NZL,2024,7.4151897,0.9415701,5.4399524,9.160843
PAK,2024,0.5526898,0.08752272,0.3765903,0.7269454
PAN,2024,0.52270305,0.10878138,0.30983996,0.73345405
PER,2024,0.64326036,0.15510194,0.36331502,0.97324514
PHI,2024,0.76286113,0.14926812,0.49989945,1.1050655
POL,2024,5.374776,0.8698068,3.8137383,7.126765
POR,2024,0.7163967,0.194638,0.34264892,1.1181425
PRK,2024,1.7145407,0.35879892,1.0770792,2.4585552
PUR,2024,0.7667725,0.14415257,0.51459235,1.079669
QAT,2024,0.50089204,0.08933916,0.34496662,0.6960387
ROU,2024,2.4695194,0.5923853,1.4174503,3.7949142
RSA,2024,2.9299562,0.47845066,2.0014756,3.8949566
SGP,2024,0.7771622,0.15086995,0.5176351,1.0872637
SLO,2024,1.9868002,0.30908236,1.4238112,2.626453
SRB,2024,2.56331,0.39095148,1.8457398,3.3856966
SUI,2024,3.6810064,0.53799707,2.6576495,4.9002037
SVK,2024,1.9544142,0.384398,1.290433,2.7718554
SWE,2024,3.7877896,0.65722704,2.5870903,5.1348495
THA,2024,1.7157202,0.2725177,1.2060614,2.315184
TJK,2024,0.6170304,0.09764965,0.4587018,0.84575003
TPE,2024,1.3479298,0.21450461,0.94412315,1.7685126
TUN,2024,0.74413574,0.1911023,0.39101252,1.1346343
TUR,2024,2.6891928,0.37479535,2.0287952,3.5249507
UGA,2024,0.6438935,0.115969054,0.4472904,0.90058225
UKR,2024,4.8715997,0.762158,3.5009305,6.467268
USA,2024,35.135166,2.863516,28.930752,41.15797
UZB,2024,3.3465538,0.5633141,2.3912308,4.496005
ZAM,2024,0.7070049,0.12044684,0.5089941,0.96856207
