Rank,NOC,Gold,Silver,Bronze,Total,Year,NOC_original
42,Taiwan,0,0,1,1,1968,Taiwan
1,Soviet Union,50,27,22,99,1972,Soviet Union
2,United States,33,31,30,94,1972,United States
3,East Germany,20,23,23,66,1972,East Germany
4,West Germany,13,11,16,40,1972,West Germany
5,Japan,13,8,8,29,1972,Japan
6,Australia,8,7,2,17,1972,Australia
7,Poland,7,5,9,21,1972,Poland
8,Hungary,6,13,16,35,1972,Hungary
9,Bulgaria,6,10,5,21,1972,Bulgaria
10,Italy,5,3,10,18,1972,Italy
11,Sweden,4,6,6,16,1972,Sweden
12,Great Britain,4,5,9,18,1972,Great Britain
13,Romania,3,6,7,16,1972,Romania
14,Cuba,3,1,4,8,1972,Cuba
14,Finland,3,1,4,8,1972,Finland
16,Netherlands,3,1,1,5,1972,Netherlands
17,France,2,4,7,13,1972,France
18,Czechoslovakia,2,4,2,8,1972,Czechoslovakia
19,Kenya,2,3,4,9,1972,Kenya
20,Yugoslavia,2,1,2,5,1972,Yugoslavia
21,Norway,2,1,1,4,1972,Norway
22,North Korea,1,1,3,5,1972,North Korea
23,New Zealand,1,1,1,3,1972,New Zealand
24,Uganda,1,1,0,2,1972,Uganda
25,Denmark,1,0,0,1,1972,Denmark
26,Switzerland,0,3,0,3,1972,Switzerland
27,Canada,0,2,3,5,1972,Canada
28,Iran,0,2,1,3,1972,Iran
29,Belgium,0,2,0,2,1972,Belgium
29,Greece,0,2,0,2,1972,Greece
31,Austria,0,1,2,3,1972,Austria
31,Colombia,0,1,2,3,1972,Colombia
33,Argentina,0,1,0,1,1972,Argentina
33,Lebanon,0,1,0,1,1972,Lebanon
33,Mexico,0,1,0,1,1972,Mexico
33,Mongolia,0,1,0,1,1972,Mongolia
33,Pakistan,0,1,0,1,1972,Pakistan
33,South Korea,0,1,0,1,1972,South Korea
33,Tunisia,0,1,0,1,1972,Tunisia
33,Turkey,0,1,0,1,1972,Turkey
41,Brazil,0,0,2,2,1972,Brazil
41,Ethiopia,0,0,2,2,1972,Ethiopia
43,Ghana,0,0,1,1,1972,Ghana
43,India,0,0,1,1,1972,India
43,Jamaica,0,0,1,1,1972,Jamaica
43,Niger,0,0,1,1,1972,Niger
43,Nigeria,0,0,1,1,1972,Nigeria
43,Spain,0,0,1,1,1972,Spain
1,Soviet Union,49,41,35,125,1976,Soviet Union
2,East Germany,40,25,25,90,1976,East Germany
3,United States,34,35,25,94,1976,United States
4,West Germany,10,12,17,39,1976,West Germany
5,Japan,9,6,10,25,1976,Japan
6,Poland,7,6,13,26,1976,Poland
7,Bulgaria,6,9,7,22,1976,Bulgaria
8,Cuba,6,4,3,13,1976,Cuba
9,Romania,4,9,14,27,1976,Romania
10,Hungary,4,5,13,22,1976,Hungary
11,Finland,4,2,0,6,1976,Finland
12,Sweden,4,1,0,5,1976,Sweden
13,Great Britain,3,5,5,13,1976,Great Britain
14,Italy,2,7,4,13,1976,Italy
15,France,2,3,4,9,1976,France
16,Yugoslavia,2,3,3,8,1976,Yugoslavia
17,Czechoslovakia,2,2,4,8,1976,Czechoslovakia
18,New Zealand,2,1,1,4,1976,New Zealand
19,South Korea,1,1,4,6,1976,South Korea
20,Switzerland,1,1,2,4,1976,Switzerland
21,Jamaica,1,1,0,2,1976,Jamaica
21,North Korea,1,1,0,2,1976,North Korea
21,Norway,1,1,0,2,1976,Norway
24,Denmark,1,0,2,3,1976,Denmark
25,Mexico,1,0,1,2,1976,Mexico
26,Trinidad and Tobago,1,0,0,1,1976,Trinidad and Tobago
27,Canada,0,5,6,11,1976,Canada
28,Belgium,0,3,3,6,1976,Belgium
29,Netherlands,0,2,3,5,1976,Netherlands
30,Portugal,0,2,0,2,1976,Portugal
30,Spain,0,2,0,2,1976,Spain
32,Australia,0,1,4,5,1976,Australia
33,Iran,0,1,1,2,1976,Iran
34,Mongolia,0,1,0,1,1976,Mongolia
34,Venezuela,0,1,0,1,1976,Venezuela
36,Brazil,0,0,2,2,1976,Brazil
37,Austria,0,0,1,1,1976,Austria
37,Bermuda,0,0,1,1,1976,Bermuda
37,Pakistan,0,0,1,1,1976,Pakistan
37,Puerto Rico,0,0,1,1,1976,Puerto Rico
37,Thailand,0,0,1,1,1976,Thailand
1,Soviet Union,55,31,46,132,1988,Soviet Union
2,East Germany,37,35,30,102,1988,East Germany
3,United States,36,31,27,94,1988,United States
4,South Korea,12,10,11,33,1988,South Korea
5,West Germany,11,14,15,40,1988,West Germany
6,Hungary,11,6,6,23,1988,Hungary
7,Bulgaria,10,12,13,35,1988,Bulgaria
8,Romania,7,11,6,24,1988,Romania
9,France,6,4,6,16,1988,France
10,Italy,6,4,4,14,1988,Italy
11,China,5,11,12,28,1988,China
12,Great Britain,5,10,9,24,1988,Great Britain
13,Kenya,5,2,2,9,1988,Kenya
14,Japan,4,3,7,14,1988,Japan
15,Australia,3,6,5,14,1988,Australia
16,Yugoslavia,3,4,5,12,1988,Yugoslavia
17,Czechoslovakia,3,3,2,8,1988,Czechoslovakia
18,New Zealand,3,2,8,13,1988,New Zealand
19,Canada,3,2,5,10,1988,Canada
20,Poland,2,5,9,16,1988,Poland
21,Norway,2,3,0,5,1988,Norway
22,Netherlands,2,2,5,9,1988,Netherlands
23,Denmark,2,1,1,4,1988,Denmark
24,Brazil,1,2,3,6,1988,Brazil
25,Finland,1,1,2,4,1988,Finland
25,Spain,1,1,2,4,1988,Spain
27,Turkey,1,1,0,2,1988,Turkey
28,Morocco,1,0,2,3,1988,Morocco
29,Austria,1,0,0,1,1988,Austria
29,Portugal,1,0,0,1,1988,Portugal
29,Suriname,1,0,0,1,1988,Suriname
32,Sweden,0,4,7,11,1988,Sweden
33,Switzerland,0,2,2,4,1988,Switzerland
34,Jamaica,0,2,0,2,1988,Jamaica
35,Argentina,0,1,1,2,1988,Argentina
36,Chile,0,1,0,1,1988,Chile
36,Costa Rica,0,1,0,1,1988,Costa Rica
36,Indonesia,0,1,0,1,1988,Indonesia
36,Iran,0,1,0,1,1988,Iran
36,Netherlands Antilles,0,1,0,1,1988,Netherlands Antilles
36,Peru,0,1,0,1,1988,Peru
36,Senegal,0,1,0,1,1988,Senegal
36,Virgin Islands,0,1,0,1,1988,Virgin Islands
44,Belgium,0,0,2,2,1988,Belgium
44,Mexico,0,0,2,2,1988,Mexico
46,Colombia,0,0,1,1,1988,Colombia
46,Djibouti,0,0,1,1,1988,Djibouti
46,Greece,0,0,1,1,1988,Greece
46,Mongolia,0,0,1,1,1988,Mongolia
46,Pakistan,0,0,1,1,1988,Pakistan
46,Philippines,0,0,1,1,1988,Philippines
46,Thailand,0,0,1,1,1988,Thailand
1,Unified Team,45,38,29,112,1992,Unified Team
2,United States,37,34,37,108,1992,United States
3,Germany,33,21,28,82,1992,Germany
4,China,16,22,16,54,1992,China
5,Cuba,14,6,11,31,1992,Cuba
6,Spain,13,7,2,22,1992,Spain
7,South Korea,12,5,12,29,1992,South Korea
8,Hungary,11,12,7,30,1992,Hungary
9,France,8,5,16,29,1992,France
10,Australia,7,9,11,27,1992,Australia
11,Canada,7,4,7,18,1992,Canada
12,Italy,6,5,8,19,1992,Italy
13,Great Britain,5,3,12,20,1992,Great Britain
14,Romania,4,6,8,18,1992,Romania
15,Czechoslovakia,4,2,1,7,1992,Czechoslovakia
16,North Korea,4,0,5,9,1992,North Korea
17,Japan,3,8,11,22,1992,Japan
18,Bulgaria,3,7,6,16,1992,Bulgaria
19,Poland,3,6,10,19,1992,Poland
20,Netherlands,2,6,7,15,1992,Netherlands
21,Kenya,2,4,2,8,1992,Kenya
22,Norway,2,4,1,7,1992,Norway
23,Turkey,2,2,2,6,1992,Turkey
24,Indonesia,2,2,1,5,1992,Indonesia
25,Brazil,2,1,0,3,1992,Brazil
26,Greece,2,0,0,2,1992,Greece
27,Sweden,1,7,4,12,1992,Sweden
28,New Zealand,1,4,5,10,1992,New Zealand
29,Finland,1,2,2,5,1992,Finland
30,Denmark,1,1,4,6,1992,Denmark
31,Morocco,1,1,1,3,1992,Morocco
32,Ireland,1,1,0,2,1992,Ireland
33,Ethiopia,1,0,2,3,1992,Ethiopia
34,Algeria,1,0,1,2,1992,Algeria
34,Estonia,1,0,1,2,1992,Estonia
34,Lithuania,1,0,1,2,1992,Lithuania
37,Switzerland,1,0,0,1,1992,Switzerland
38,Jamaica,0,3,1,4,1992,Jamaica
38,Nigeria,0,3,1,4,1992,Nigeria
40,Latvia,0,2,1,3,1992,Latvia
41,Austria,0,2,0,2,1992,Austria
41,Namibia,0,2,0,2,1992,Namibia
41,South Africa,0,2,0,2,1992,South Africa
44,Belgium,0,1,2,3,1992,Belgium
44,Croatia,0,1,2,3,1992,Croatia
44,Independent Olympic Participants,0,1,2,3,1992,Independent Olympic Participants
44,Iran,0,1,2,3,1992,Iran
48,Israel,0,1,1,2,1992,Israel
49,Chinese Taipei,0,1,0,1,1992,Chinese Taipei
49,Mexico,0,1,0,1,1992,Mexico
49,Peru,0,1,0,1,1992,Peru
52,Mongolia,0,0,2,2,1992,Mongolia
52,Slovenia,0,0,2,2,1992,Slovenia
54,Argentina,0,0,1,1,1992,Argentina
54,Bahamas,0,0,1,1,1992,Bahamas
54,Colombia,0,0,1,1,1992,Colombia
54,Ghana,0,0,1,1,1992,Ghana
54,Malaysia,0,0,1,1,1992,Malaysia
54,Pakistan,0,0,1,1,1992,Pakistan
54,Philippines,0,0,1,1,1992,Philippines
54,Puerto Rico,0,0,1,1,1992,Puerto Rico
54,Qatar,0,0,1,1,1992,Qatar
54,Suriname,0,0,1,1,1992,Suriname
54,Thailand,0,0,1,1,1992,Thailand
1,United States,44,32,25,101,1996,United States
2,Russia,26,21,16,63,1996,Russia
3,Germany,20,18,27,65,1996,Germany
4,China,16,22,12,50,1996,China
5,France,15,7,15,37,1996,France
6,Italy,13,10,12,35,1996,Italy
7,Australia,9,9,23,41,1996,Australia
8,Cuba,9,8,8,25,1996,Cuba
9,Ukraine,9,2,12,23,1996,Ukraine
10,South Korea,7,15,5,27,1996,South Korea
11,Poland,7,5,5,17,1996,Poland
12,Hungary,7,4,10,21,1996,Hungary
13,Spain,5,6,6,17,1996,Spain
14,Romania,4,7,9,20,1996,Romania
15,Netherlands,4,5,10,19,1996,Netherlands
16,Greece,4,4,0,8,1996,Greece
17,Czech Republic,4,3,4,11,1996,Czech Republic
18,Switzerland,4,3,0,7,1996,Switzerland
19,Denmark,4,1,1,6,1996,Denmark
19,Turkey,4,1,1,6,1996,Turkey
21,Canada,3,11,8,22,1996,Canada
22,Bulgaria,3,7,5,15,1996,Bulgaria
23,Japan,3,6,5,14,1996,Japan
24,Kazakhstan,3,4,4,11,1996,Kazakhstan
25,Brazil,3,3,9,15,1996,Brazil
26,New Zealand,3,2,1,6,1996,New Zealand
27,South Africa,3,1,1,5,1996,South Africa
28,Ireland,3,0,1,4,1996,Ireland
29,Sweden,2,4,2,8,1996,Sweden
30,Norway,2,2,3,7,1996,Norway
31,Belgium,2,2,2,6,1996,Belgium
32,Nigeria,2,1,3,6,1996,Nigeria
33,North Korea,2,1,2,5,1996,North Korea
34,Algeria,2,0,1,3,1996,Algeria
34,Ethiopia,2,0,1,3,1996,Ethiopia
36,Great Britain,1,8,6,15,1996,Great Britain
37,Belarus,1,6,8,15,1996,Belarus
38,Kenya,1,4,3,8,1996,Kenya
39,Jamaica,1,3,2,6,1996,Jamaica
40,Finland,1,2,1,4,1996,Finland
41,FR Yugoslavia,1,1,2,4,1996,FR Yugoslavia
41,Indonesia,1,1,2,4,1996,Indonesia
43,Iran,1,1,1,3,1996,Iran
43,Slovakia,1,1,1,3,1996,Slovakia
45,Armenia,1,1,0,2,1996,Armenia
45,Croatia,1,1,0,2,1996,Croatia
47,Portugal,1,0,1,2,1996,Portugal
47,Thailand,1,0,1,2,1996,Thailand
49,Burundi,1,0,0,1,1996,Burundi
49,Costa Rica,1,0,0,1,1996,Costa Rica
49,Ecuador,1,0,0,1,1996,Ecuador
49,Hong Kong,1,0,0,1,1996,Hong Kong
49,Syria,1,0,0,1,1996,Syria
54,Argentina,0,2,1,3,1996,Argentina
55,Namibia,0,2,0,2,1996,Namibia
55,Slovenia,0,2,0,2,1996,Slovenia
57,Austria,0,1,2,3,1996,Austria
58,Malaysia,0,1,1,2,1996,Malaysia
58,Moldova,0,1,1,2,1996,Moldova
58,Uzbekistan,0,1,1,2,1996,Uzbekistan
61,Azerbaijan,0,1,0,1,1996,Azerbaijan
61,Bahamas,0,1,0,1,1996,Bahamas
61,Chinese Taipei,0,1,0,1,1996,Chinese Taipei
61,Latvia,0,1,0,1,1996,Latvia
61,Philippines,0,1,0,1,1996,Philippines
61,Tonga,0,1,0,1,1996,Tonga
61,Zambia,0,1,0,1,1996,Zambia
68,Georgia,0,0,2,2,1996,Georgia
68,Morocco,0,0,2,2,1996,Morocco
68,Trinidad and Tobago,0,0,2,2,1996,Trinidad and Tobago
71,India,0,0,1,1,1996,India
71,Israel,0,0,1,1,1996,Israel
71,Lithuania,0,0,1,1,1996,Lithuania
71,Mexico,0,0,1,1,1996,Mexico
71,Mongolia,0,0,1,1,1996,Mongolia
71,Mozambique,0,0,1,1,1996,Mozambique
71,Puerto Rico,0,0,1,1,1996,Puerto Rico
71,Tunisia,0,0,1,1,1996,Tunisia
71,Uganda,0,0,1,1,1996,Uganda
1,United States,37,24,32,93,2000,United States
2,Russia,32,28,29,89,2000,Russia
3,China,28,16,14,58,2000,China
4,Australia,16,25,17,58,2000,Australia
5,Germany,13,17,26,56,2000,Germany
6,France,13,14,11,38,2000,France
7,Italy,13,8,13,34,2000,Italy
8,Netherlands,12,9,4,25,2000,Netherlands
9,Cuba,11,11,7,29,2000,Cuba
10,Great Britain,11,10,7,28,2000,Great Britain
11,Romania,11,6,9,26,2000,Romania
12,South Korea,8,10,10,28,2000,South Korea
13,Hungary,8,6,3,17,2000,Hungary
14,Poland,6,5,3,14,2000,Poland
15,Japan,5,8,5,18,2000,Japan
16,Bulgaria,5,6,2,13,2000,Bulgaria
17,Greece,4,6,3,13,2000,Greece
18,Sweden,4,5,3,12,2000,Sweden
19,Norway,4,3,3,10,2000,Norway
20,Ethiopia,4,1,3,8,2000,Ethiopia
21,Ukraine,3,10,10,23,2000,Ukraine
22,Kazakhstan,3,4,0,7,2000,Kazakhstan
23,Belarus,3,3,11,17,2000,Belarus
24,Canada,3,3,8,14,2000,Canada
25,Spain,3,3,5,11,2000,Spain
26,Turkey,3,0,2,5,2000,Turkey
27,Iran,3,0,1,4,2000,Iran
28,Czech Republic,2,3,3,8,2000,Czech Republic
29,Kenya,2,3,2,7,2000,Kenya
30,Denmark,2,3,1,6,2000,Denmark
31,Finland,2,1,1,4,2000,Finland
32,Austria,2,1,0,3,2000,Austria
33,Lithuania,2,0,3,5,2000,Lithuania
34,Azerbaijan,2,0,1,3,2000,Azerbaijan
34,Bahamas,2,0,1,3,2000,Bahamas
36,Slovenia,2,0,0,2,2000,Slovenia
37,Switzerland,1,6,2,9,2000,Switzerland
38,Indonesia,1,3,2,6,2000,Indonesia
39,Slovakia,1,3,1,5,2000,Slovakia
40,Mexico,1,2,3,6,2000,Mexico
41,Nigeria,1,2,0,3,2000,Nigeria
42,Algeria,1,1,3,5,2000,Algeria
43,Uzbekistan,1,1,2,4,2000,Uzbekistan
44,FR Yugoslavia,1,1,1,3,2000,FR Yugoslavia
44,Latvia,1,1,1,3,2000,Latvia
46,New Zealand,1,0,3,4,2000,New Zealand
47,Estonia,1,0,2,3,2000,Estonia
47,Thailand,1,0,2,3,2000,Thailand
49,Croatia,1,0,1,2,2000,Croatia
50,Cameroon,1,0,0,1,2000,Cameroon
50,Colombia,1,0,0,1,2000,Colombia
50,Mozambique,1,0,0,1,2000,Mozambique
53,Brazil,0,6,6,12,2000,Brazil
54,Jamaica,0,6,3,9,2000,Jamaica
55,Belgium,0,2,3,5,2000,Belgium
55,South Africa,0,2,3,5,2000,South Africa
57,Argentina,0,2,2,4,2000,Argentina
58,Chinese Taipei,0,1,4,5,2000,Chinese Taipei
58,Morocco,0,1,4,5,2000,Morocco
60,North Korea,0,1,3,4,2000,North Korea
61,Moldova,0,1,1,2,2000,Moldova
61,Saudi Arabia,0,1,1,2,2000,Saudi Arabia
61,Trinidad and Tobago,0,1,1,2,2000,Trinidad and Tobago
64,Ireland,0,1,0,1,2000,Ireland
64,Sri Lanka,0,1,0,1,2000,Sri Lanka
64,Uruguay,0,1,0,1,2000,Uruguay
64,Vietnam,0,1,0,1,2000,Vietnam
68,Georgia,0,0,6,6,2000,Georgia
69,Costa Rica,0,0,2,2,2000,Costa Rica
69,Portugal,0,0,2,2,2000,Portugal
71,Armenia,0,0,1,1,2000,Armenia
71,Barbados,0,0,1,1,2000,Barbados
71,Chile,0,0,1,1,2000,Chile
71,Iceland,0,0,1,1,2000,Iceland
71,India,0,0,1,1,2000,India
71,Israel,0,0,1,1,2000,Israel
71,Kuwait,0,0,1,1,2000,Kuwait
71,Kyrgyzstan,0,0,1,1,2000,Kyrgyzstan
71,Macedonia,0,0,1,1,2000,Macedonia
71,Qatar,0,0,1,1,2000,Qatar
1,United States,36,39,26,101,2004,United States
2,China,32,17,14,63,2004,China
3,Russia,28,26,36,90,2004,Russia
4,Australia,17,16,17,50,2004,Australia
5,Japan,16,9,12,37,2004,Japan
6,Germany,13,16,20,49,2004,Germany
7,France,11,9,13,33,2004,France
8,Italy,10,11,11,32,2004,Italy
9,South Korea,9,12,9,30,2004,South Korea
10,Great Britain,9,9,12,30,2004,Great Britain
11,Cuba,9,7,11,27,2004,Cuba
12,Hungary,8,6,3,17,2004,Hungary
13,Ukraine,8,5,9,22,2004,Ukraine
14,Romania,8,5,6,19,2004,Romania
15,Greece,6,6,4,16,2004,Greece
16,Brazil,5,2,3,10,2004,Brazil
17,Norway,5,0,1,6,2004,Norway
18,Netherlands,4,9,9,22,2004,Netherlands
19,Sweden,4,2,1,7,2004,Sweden
20,Spain,3,11,6,20,2004,Spain
21,Canada,3,6,3,12,2004,Canada
22,Turkey,3,3,4,10,2004,Turkey
23,Poland,3,2,5,10,2004,Poland
24,New Zealand,3,2,0,5,2004,New Zealand
25,Thailand,3,1,4,8,2004,Thailand
26,Belarus,2,5,6,13,2004,Belarus
27,Austria,2,4,1,7,2004,Austria
28,Ethiopia,2,3,2,7,2004,Ethiopia
29,Iran,2,2,2,6,2004,Iran
29,Slovakia,2,2,2,6,2004,Slovakia
31,Chinese Taipei,2,2,1,5,2004,Chinese Taipei
32,Georgia,2,2,0,4,2004,Georgia
33,Bulgaria,2,1,9,12,2004,Bulgaria
34,Denmark,2,1,5,8,2004,Denmark
35,Jamaica,2,1,2,5,2004,Jamaica
35,Uzbekistan,2,1,2,5,2004,Uzbekistan
37,Morocco,2,1,0,3,2004,Morocco
38,Argentina,2,0,4,6,2004,Argentina
39,Chile,2,0,1,3,2004,Chile
40,Kazakhstan,1,4,3,8,2004,Kazakhstan
41,Kenya,1,4,2,7,2004,Kenya
42,Czech Republic,1,3,5,9,2004,Czech Republic
43,South Africa,1,3,2,6,2004,South Africa
44,Croatia,1,2,2,5,2004,Croatia
45,Lithuania,1,2,0,3,2004,Lithuania
46,Egypt,1,1,3,5,2004,Egypt
46,Switzerland,1,1,3,5,2004,Switzerland
48,Indonesia,1,1,2,4,2004,Indonesia
49,Zimbabwe,1,1,1,3,2004,Zimbabwe
50,Azerbaijan,1,0,4,5,2004,Azerbaijan
51,Belgium,1,0,2,3,2004,Belgium
52,Bahamas,1,0,1,2,2004,Bahamas
52,Israel,1,0,1,2,2004,Israel
54,Cameroon,1,0,0,1,2004,Cameroon
54,Dominican Republic,1,0,0,1,2004,Dominican Republic
54,United Arab Emirates,1,0,0,1,2004,United Arab Emirates
57,North Korea,0,4,1,5,2004,North Korea
58,Latvia,0,4,0,4,2004,Latvia
59,Mexico,0,3,1,4,2004,Mexico
60,Portugal,0,2,1,3,2004,Portugal
61,Finland,0,2,0,2,2004,Finland
61,Serbia and Montenegro,0,2,0,2,2004,Serbia and Montenegro
63,Slovenia,0,1,3,4,2004,Slovenia
64,Estonia,0,1,2,3,2004,Estonia
65,Hong Kong,0,1,0,1,2004,Hong Kong
65,India,0,1,0,1,2004,India
65,Paraguay,0,1,0,1,2004,Paraguay
68,Colombia,0,0,2,2,2004,Colombia
68,Nigeria,0,0,2,2,2004,Nigeria
68,Venezuela,0,0,2,2,2004,Venezuela
71,Eritrea,0,0,1,1,2004,Eritrea
71,Mongolia,0,0,1,1,2004,Mongolia
71,Syria,0,0,1,1,2004,Syria
71,Trinidad and Tobago,0,0,1,1,2004,Trinidad and Tobago
1,China,48,22,30,100,2008,China
2,United States,36,39,37,112,2008,United States
3,Russia,24,13,23,60,2008,Russia
4,Great Britain,19,13,19,51,2008,Great Britain
5,Germany,16,11,14,41,2008,Germany
6,Australia,14,15,17,46,2008,Australia
7,South Korea,13,11,8,32,2008,South Korea
8,Japan,9,8,8,25,2008,Japan
9,Italy,8,9,10,27,2008,Italy
10,France,7,16,20,43,2008,France
11,Netherlands,7,5,4,16,2008,Netherlands
12,Ukraine,7,4,11,22,2008,Ukraine
13,Kenya,6,4,6,16,2008,Kenya
14,Spain,5,11,3,19,2008,Spain
15,Jamaica,5,4,2,11,2008,Jamaica
16,Poland,4,5,2,11,2008,Poland
17,Ethiopia,4,2,1,7,2008,Ethiopia
18,Romania,4,1,4,9,2008,Romania
19,Cuba,3,10,17,30,2008,Cuba
20,Canada,3,9,8,20,2008,Canada
21,Hungary,3,5,2,10,2008,Hungary
22,Norway,3,5,1,9,2008,Norway
